SampleID,Cruise,Station,Latitude,Longitude,Depth,Longhurst_Short,Longhurst_Long,Plas_Domain,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV_name,Raw.Sequence.Counts,Temperature,Salinity,Oxygen,Silicate,NO2,NO3,NOx,NH3,PO4
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,,,GRUMP163361,40.4075225721207,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea_1_XX_sp.,GRUMP133869,166.681030609998,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Collophidiidae,,,GRUMP179600,16829.7331512883,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Liosphaeroidea_X,Liosphaeroidea_XX,Liosphaeroidea_XX_sp.,GRUMP148700,161.630090288483,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,RAD-B_X_Group-IV_XX_sp.,GRUMP100889,106.069746751817,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,Heliosphaera,Heliosphaera_sp.,GRUMP140994,111.120687073332,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Liosphaeroidea_X,Liosphaeroidea_XX,Liosphaeroidea_XX_sp.,GRUMP136701,343.463941863026,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea_1_XX_sp.,GRUMP133876,50.5094032151508,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B_X_Group-IV_X,RAD-B_X_Group-IV_XX,RAD-B_X_Group-IV_XX_sp.,GRUMP101589,55.5603435366659,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
P16N-S12-N01,P16N,Station_12,-6,-151,1002.06,PEQD,Trades - Pacific Equatorial Divergence Province,no_Eukaryota,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,Heliosphaera,Heliosphaera_sp.,GRUMP133873,55.5603435366659,4.37,34.55,86.9,78.46,0.02,39.42,39.44,,2.75
