atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,4850881.03217741
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,4850881.03217741
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,2205051.73330932
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2100094.76639686
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,2283068.21218988
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2171987.0345743
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,1892835.57419605
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1790312.96360121
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,1732658.20240065
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1631938.64630506
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,1606015.4312822
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1524083.59192195
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,1585749.4577266
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,1494107.02097019
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,1496574.04565205
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,1430291.53562469
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,858177.929268674
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,803090.014253275
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,1448222.26871518
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,1383682.8821422
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,803129.934761421
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,758217.255389061
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,1224517.8986774
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,1166768.02778829
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,788161.147876577
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,750320.143528654
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,1174834.48049585
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,1117128.45975515
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,730890.043201565
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,693049.29024834
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,1166208.13925524
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,1108782.04854316
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,709093.234078824
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,671421.936526203
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,534165.512554897
AtLeastIn1,PG,Cluster10,Ward,df_AbioticsDistance,492356.213433615
AtLeastIn1,PG,Cluster10,Medoid,df_LatDephtDistance,647870.451721927
AtLeastIn1,PG,Cluster10,Medoid,df_AbioticsDistance,612186.558690446
AtLeastIn1,PG,Cluster11,Ward,df_LatDephtDistance,533610.521812627
AtLeastIn1,PG,Cluster11,Ward,df_AbioticsDistance,491996.952490091
AtLeastIn1,PG,Cluster11,Medoid,df_LatDephtDistance,528877.674879392
AtLeastIn1,PG,Cluster11,Medoid,df_AbioticsDistance,502164.191071409
AtLeastIn1,PG,Cluster12,Ward,df_LatDephtDistance,531358.65076485
AtLeastIn1,PG,Cluster12,Ward,df_AbioticsDistance,489754.745745623
AtLeastIn1,PG,Cluster12,Medoid,df_LatDephtDistance,473863.698012575
AtLeastIn1,PG,Cluster12,Medoid,df_AbioticsDistance,452727.385210853
AtLeastIn1,PG,Cluster13,Ward,df_LatDephtDistance,527615.004417196
AtLeastIn1,PG,Cluster13,Ward,df_AbioticsDistance,486011.972106412
AtLeastIn1,PG,Cluster13,Medoid,df_LatDephtDistance,351611.478805818
AtLeastIn1,PG,Cluster13,Medoid,df_AbioticsDistance,333467.539840802
AtLeastIn1,PG,Cluster14,Ward,df_LatDephtDistance,527501.224312197
AtLeastIn1,PG,Cluster14,Ward,df_AbioticsDistance,485925.989185612
AtLeastIn1,PG,Cluster14,Medoid,df_LatDephtDistance,344871.112371485
AtLeastIn1,PG,Cluster14,Medoid,df_AbioticsDistance,327256.904398264
AtLeastIn1,PG,Cluster15,Ward,df_LatDephtDistance,443330.118394371
AtLeastIn1,PG,Cluster15,Ward,df_AbioticsDistance,416199.691847779
AtLeastIn1,PG,Cluster15,Medoid,df_LatDephtDistance,339775.63022296
AtLeastIn1,PG,Cluster15,Medoid,df_AbioticsDistance,322331.583361014
AtLeastIn1,PG,Cluster16,Ward,df_LatDephtDistance,442277.817121015
AtLeastIn1,PG,Cluster16,Ward,df_AbioticsDistance,415168.710285109
AtLeastIn1,PG,Cluster16,Medoid,df_LatDephtDistance,339165.076908808
AtLeastIn1,PG,Cluster16,Medoid,df_AbioticsDistance,321730.740504092
AtLeastIn1,PG,Cluster17,Ward,df_LatDephtDistance,440205.238697666
AtLeastIn1,PG,Cluster17,Ward,df_AbioticsDistance,413081.89501649
