atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,784802.074533109
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,784802.074533109
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,419444.667284657
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2069574.47838288
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,459736.961264166
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2170450.18434285
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,388481.979691262
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1738851.3633082
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,152766.260834735
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1349505.62878579
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,320693.137182282
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1514269.87286834
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,122179.953639504
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,1002465.4766237
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,103671.968709116
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,907783.329392074
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,110610.634649344
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,887303.398077244
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,95147.5562568312
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,854760.675706442
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,94443.1395691594
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,818096.277116726
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,87666.55522148
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,820574.832383793
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,86728.2209700856
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,789199.324509277
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,77225.6404799157
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,711290.502757428
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,70081.8668464609
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,607930.736513673
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,74489.0919777482
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,661650.934724283
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,66729.4472180188
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,559062.069927432
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,73332.8324650115
AtLeastIn1,PG,Cluster10,Ward,df_AbioticsDistance,656607.891221789
AtLeastIn1,PG,Cluster10,Medoid,df_LatDephtDistance,45381.8454180417
AtLeastIn1,PG,Cluster10,Medoid,df_AbioticsDistance,443411.25250476
AtLeastIn1,PG,Cluster11,Ward,df_LatDephtDistance,72497.9536093807
AtLeastIn1,PG,Cluster11,Ward,df_AbioticsDistance,650297.106381301
AtLeastIn1,PG,Cluster11,Medoid,df_LatDephtDistance,44401.6405100006
AtLeastIn1,PG,Cluster11,Medoid,df_AbioticsDistance,432515.553113394
AtLeastIn1,PG,Cluster12,Ward,df_LatDephtDistance,56691.6536042519
AtLeastIn1,PG,Cluster12,Ward,df_AbioticsDistance,508940.487011971
AtLeastIn1,PG,Cluster12,Medoid,df_LatDephtDistance,39371.4803035674
AtLeastIn1,PG,Cluster12,Medoid,df_AbioticsDistance,383746.940143145
AtLeastIn1,PG,Cluster13,Ward,df_LatDephtDistance,56159.0502688236
AtLeastIn1,PG,Cluster13,Ward,df_AbioticsDistance,504714.649247667
AtLeastIn1,PG,Cluster13,Medoid,df_LatDephtDistance,36877.8662443198
AtLeastIn1,PG,Cluster13,Medoid,df_AbioticsDistance,346407.509266546
AtLeastIn1,PG,Cluster14,Ward,df_LatDephtDistance,44833.8525479363
AtLeastIn1,PG,Cluster14,Ward,df_AbioticsDistance,375957.394948848
AtLeastIn1,PG,Cluster14,Medoid,df_LatDephtDistance,35750.8807605789
AtLeastIn1,PG,Cluster14,Medoid,df_AbioticsDistance,341432.803089193
AtLeastIn1,PG,Cluster15,Ward,df_LatDephtDistance,44537.7581283842
AtLeastIn1,PG,Cluster15,Ward,df_AbioticsDistance,375728.00960391
AtLeastIn1,PG,Cluster15,Medoid,df_LatDephtDistance,34607.2320283927
AtLeastIn1,PG,Cluster15,Medoid,df_AbioticsDistance,332862.797563147
AtLeastIn1,PG,Cluster16,Ward,df_LatDephtDistance,44450.2021366402
AtLeastIn1,PG,Cluster16,Ward,df_AbioticsDistance,375127.166746987
AtLeastIn1,PG,Cluster16,Medoid,df_LatDephtDistance,33637.9027021954
AtLeastIn1,PG,Cluster16,Medoid,df_AbioticsDistance,332174.897719812
AtLeastIn1,PG,Cluster17,Ward,df_LatDephtDistance,44361.9238745942
AtLeastIn1,PG,Cluster17,Ward,df_AbioticsDistance,373191.577703043
AtLeastIn1,PG,Cluster17,Medoid,df_LatDephtDistance,31570.3810465385
AtLeastIn1,PG,Cluster17,Medoid,df_AbioticsDistance,323929.92195499
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,37827.8943925675
