atleast,agglevel,clusters,method,dimension,TotalSum
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,784802.074533109
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,784802.074533109
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,425215.083639381
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2100094.76639686
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,456563.993069295
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2171987.0345743
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,395823.02244352
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1790312.96360121
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,380752.62306374
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1631938.64630506
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,324979.528724464
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1524083.59192195
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,346147.396638058
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,1494107.02097019
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,285427.876504176
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,1430291.53562469
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,183388.918847267
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,803090.014253275
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,277604.88798161
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,1383682.8821422
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,161520.720726274
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,758217.255389061
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,244289.75657443
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,1166768.02778829
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,149806.130142575
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,750320.143528654
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,241553.208072263
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,1117128.45975515
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,146724.62880881
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,693049.29024834
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,240254.86260546
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,1108782.04854316
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,144718.203401314
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,671421.936526203
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,132849.974369219
AtLeastIn1,PG,Cluster10,Ward,df_AbioticsDistance,492356.213433615
AtLeastIn1,PG,Cluster10,Medoid,df_LatDephtDistance,134791.253896076
AtLeastIn1,PG,Cluster10,Medoid,df_AbioticsDistance,612186.558690446
AtLeastIn1,PG,Cluster11,Ward,df_LatDephtDistance,132541.589716038
AtLeastIn1,PG,Cluster11,Ward,df_AbioticsDistance,491996.952490091
AtLeastIn1,PG,Cluster11,Medoid,df_LatDephtDistance,102688.222344577
AtLeastIn1,PG,Cluster11,Medoid,df_AbioticsDistance,502164.191071409
AtLeastIn1,PG,Cluster12,Ward,df_LatDephtDistance,132339.183486903
AtLeastIn1,PG,Cluster12,Ward,df_AbioticsDistance,489754.745745623
AtLeastIn1,PG,Cluster12,Medoid,df_LatDephtDistance,85272.6472324925
AtLeastIn1,PG,Cluster12,Medoid,df_AbioticsDistance,452727.385210853
AtLeastIn1,PG,Cluster13,Ward,df_LatDephtDistance,132083.772278015
AtLeastIn1,PG,Cluster13,Ward,df_AbioticsDistance,486011.972106412
AtLeastIn1,PG,Cluster13,Medoid,df_LatDephtDistance,65178.8304042039
AtLeastIn1,PG,Cluster13,Medoid,df_AbioticsDistance,333467.539840802
AtLeastIn1,PG,Cluster14,Ward,df_LatDephtDistance,132006.76308501
AtLeastIn1,PG,Cluster14,Ward,df_AbioticsDistance,485925.989185612
AtLeastIn1,PG,Cluster14,Medoid,df_LatDephtDistance,63326.5814898263
AtLeastIn1,PG,Cluster14,Medoid,df_AbioticsDistance,327256.904398264
AtLeastIn1,PG,Cluster15,Ward,df_LatDephtDistance,91151.2478011517
AtLeastIn1,PG,Cluster15,Ward,df_AbioticsDistance,416199.691847779
AtLeastIn1,PG,Cluster15,Medoid,df_LatDephtDistance,62260.6285842715
AtLeastIn1,PG,Cluster15,Medoid,df_AbioticsDistance,322331.583361014
AtLeastIn1,PG,Cluster16,Ward,df_LatDephtDistance,90946.7951817502
AtLeastIn1,PG,Cluster16,Ward,df_AbioticsDistance,415168.710285109
AtLeastIn1,PG,Cluster16,Medoid,df_LatDephtDistance,62173.0725925275
AtLeastIn1,PG,Cluster16,Medoid,df_AbioticsDistance,321730.740504092
AtLeastIn1,PG,Cluster17,Ward,df_LatDephtDistance,90876.800722806
AtLeastIn1,PG,Cluster17,Ward,df_AbioticsDistance,413081.89501649
AtLeastIn1,PG,Cluster17,Medoid,df_LatDephtDistance,61876.9781729754
AtLeastIn1,PG,Cluster17,Medoid,df_AbioticsDistance,321501.355159154
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,77122.8491488618
