atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,4727427.47974437,0.25
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162,0.25
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,4727427.47974437,0.25
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162,0.25
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,2043678.57057757,0.25
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2018320.43975139,0.25
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,2195867.77275693,0.25
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2170583.59005831,0.25
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,1723198.21560543,0.25
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1697620.21356338,0.25
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,1594555.21259885,0.25
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1571813.17097325,0.25
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,1474564.70846842,0.25
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1452929.99304296,0.25
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,806232.561219167,0.25
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,787366.610954324,0.25
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,1384405.81600021,0.25
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,1364323.47878014,0.25
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,694810.202279886,0.25
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,676606.70391208,0.25
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,1337014.95124196,0.25
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,1317714.82529766,0.25
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,648022.624761629,0.25
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,631982.666637008,0.25
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,1184733.45317853,0.25
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,1166981.74271233,0.25
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,474162.753604253,0.25
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,456669.122404425,0.25
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,1034080.85362636,0.25
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,1014984.24264086,0.25
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,336584.663190713,0.25
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,329806.363631381,0.25
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,422197.545336217,0.25
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,406715.659542797,0.25
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,318424.521197319,0.25
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,309928.782341284,0.25
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,415615.580168093,0.25
AtLeastIn1,PG,Cluster10,Ward,df_AbioticsDistance,400237.399898887,0.25
AtLeastIn1,PG,Cluster10,Medoid,df_LatDephtDistance,339855.333853989,0.25
AtLeastIn1,PG,Cluster10,Medoid,df_AbioticsDistance,331860.866850148,0.25
AtLeastIn1,PG,Cluster11,Ward,df_LatDephtDistance,407650.474322844,0.25
AtLeastIn1,PG,Cluster11,Ward,df_AbioticsDistance,392312.670138241,0.25
AtLeastIn1,PG,Cluster11,Medoid,df_LatDephtDistance,276275.275010929,0.25
AtLeastIn1,PG,Cluster11,Medoid,df_AbioticsDistance,271659.302387706,0.25
AtLeastIn1,PG,Cluster12,Ward,df_LatDephtDistance,404797.785442049,0.25
AtLeastIn1,PG,Cluster12,Ward,df_AbioticsDistance,389467.216836564,0.25
AtLeastIn1,PG,Cluster12,Medoid,df_LatDephtDistance,275252.440656631,0.25
AtLeastIn1,PG,Cluster12,Medoid,df_AbioticsDistance,270800.02389759,0.25
AtLeastIn1,PG,Cluster13,Ward,df_LatDephtDistance,313208.263789088,0.25
AtLeastIn1,PG,Cluster13,Ward,df_AbioticsDistance,305688.241549493,0.25
AtLeastIn1,PG,Cluster13,Medoid,df_LatDephtDistance,258651.485949091,0.25
AtLeastIn1,PG,Cluster13,Medoid,df_AbioticsDistance,254181.7296012,0.25
AtLeastIn1,PG,Cluster14,Ward,df_LatDephtDistance,311569.995239664,0.25
AtLeastIn1,PG,Cluster14,Ward,df_AbioticsDistance,304044.348746582,0.25
AtLeastIn1,PG,Cluster14,Medoid,df_LatDephtDistance,247588.710002975,0.25
AtLeastIn1,PG,Cluster14,Medoid,df_AbioticsDistance,243150.650770101,0.25
AtLeastIn1,PG,Cluster15,Ward,df_LatDephtDistance,311221.953982064,0.25
AtLeastIn1,PG,Cluster15,Ward,df_AbioticsDistance,303685.087803058,0.25
AtLeastIn1,PG,Cluster15,Medoid,df_LatDephtDistance,228469.789572948,0.25
AtLeastIn1,PG,Cluster15,Medoid,df_AbioticsDistance,224024.54230524,0.25
AtLeastIn1,PG,Cluster16,Ward,df_LatDephtDistance,310915.804526728,0.25
AtLeastIn1,PG,Cluster16,Ward,df_AbioticsDistance,303476.32467677,0.25
AtLeastIn1,PG,Cluster16,Medoid,df_LatDephtDistance,206097.028321725,0.25
AtLeastIn1,PG,Cluster16,Medoid,df_AbioticsDistance,202493.520524583,0.25
AtLeastIn1,PG,Cluster17,Ward,df_LatDephtDistance,253077.332425214,0.25
AtLeastIn1,PG,Cluster17,Ward,df_AbioticsDistance,245865.189222099,0.25
AtLeastIn1,PG,Cluster17,Medoid,df_LatDephtDistance,193051.611038043,0.25
AtLeastIn1,PG,Cluster17,Medoid,df_AbioticsDistance,189644.530146874,0.25
AtLeastIn1,PG,Cluster18,Ward,df_LatDephtDistance,252992.564856598,0.25
AtLeastIn1,PG,Cluster18,Ward,df_AbioticsDistance,245779.206301298,0.25
AtLeastIn1,PG,Cluster18,Medoid,df_LatDephtDistance,189803.689279531,0.25
AtLeastIn1,PG,Cluster18,Medoid,df_AbioticsDistance,186375.928799117,0.25
AtLeastIn1,PG,Cluster19,Ward,df_LatDephtDistance,252517.732591142,0.25
AtLeastIn1,PG,Cluster19,Ward,df_AbioticsDistance,245304.546974971,0.25
AtLeastIn1,PG,Cluster19,Medoid,df_LatDephtDistance,131228.562091446,0.25
AtLeastIn1,PG,Cluster19,Medoid,df_AbioticsDistance,127480.56531525,0.25
AtLeastIn1,PG,Cluster20,Ward,df_LatDephtDistance,208932.492326336,0.25
AtLeastIn1,PG,Cluster20,Ward,df_AbioticsDistance,203043.079431239,0.25
AtLeastIn1,PG,Cluster20,Medoid,df_LatDephtDistance,128635.009382201,0.25
AtLeastIn1,PG,Cluster20,Medoid,df_AbioticsDistance,125191.978906007,0.25
AtLeastIn1,PG,Cluster21,Ward,df_LatDephtDistance,207747.597589522,0.25
AtLeastIn1,PG,Cluster21,Ward,df_AbioticsDistance,201848.542244345,0.25
AtLeastIn1,PG,Cluster21,Medoid,df_LatDephtDistance,128033.987946435,0.25
AtLeastIn1,PG,Cluster21,Medoid,df_AbioticsDistance,124591.136049085,0.25
AtLeastIn1,PG,Cluster22,Ward,df_LatDephtDistance,189223.845368637,0.25
AtLeastIn1,PG,Cluster22,Ward,df_AbioticsDistance,185205.1450838,0.25
AtLeastIn1,PG,Cluster22,Medoid,df_LatDephtDistance,118473.445480807,0.25
AtLeastIn1,PG,Cluster22,Medoid,df_AbioticsDistance,115342.385858902,0.25
AtLeastIn1,PG,Cluster23,Ward,df_LatDephtDistance,175915.165936523,0.25
AtLeastIn1,PG,Cluster23,Ward,df_AbioticsDistance,171791.254636984,0.25
AtLeastIn1,PG,Cluster23,Medoid,df_LatDephtDistance,117582.052168967,0.25
AtLeastIn1,PG,Cluster23,Medoid,df_AbioticsDistance,114466.519927676,0.25
AtLeastIn1,PG,Cluster24,Ward,df_LatDephtDistance,148497.748091759,0.25
AtLeastIn1,PG,Cluster24,Ward,df_AbioticsDistance,144591.835429582,0.25
AtLeastIn1,PG,Cluster24,Medoid,df_LatDephtDistance,117314.406622947,0.25
AtLeastIn1,PG,Cluster24,Medoid,df_AbioticsDistance,114237.134582738,0.25
AtLeastIn1,PG,Cluster25,Ward,df_LatDephtDistance,130307.98890873,0.25
AtLeastIn1,PG,Cluster25,Ward,df_AbioticsDistance,126316.639883617,0.25
AtLeastIn1,PG,Cluster25,Medoid,df_LatDephtDistance,92978.5727722486,0.25
AtLeastIn1,PG,Cluster25,Medoid,df_AbioticsDistance,89777.1127983817,0.25
AtLeastIn1,PG,Cluster26,Ward,df_LatDephtDistance,130281.923349941,0.25
AtLeastIn1,PG,Cluster26,Ward,df_AbioticsDistance,126298.628116369,0.25
AtLeastIn1,PG,Cluster26,Medoid,df_LatDephtDistance,92503.7405067917,0.25
AtLeastIn1,PG,Cluster26,Medoid,df_AbioticsDistance,89302.4534720541,0.25
AtLeastIn1,PG,Cluster27,Ward,df_LatDephtDistance,129931.900093571,0.25
AtLeastIn1,PG,Cluster27,Ward,df_AbioticsDistance,125945.791580796,0.25
AtLeastIn1,PG,Cluster27,Medoid,df_LatDephtDistance,91708.4367952807,0.25
AtLeastIn1,PG,Cluster27,Medoid,df_AbioticsDistance,88538.3329323004,0.25
AtLeastIn1,PG,Cluster28,Ward,df_LatDephtDistance,111423.248800389,0.25
AtLeastIn1,PG,Cluster28,Ward,df_AbioticsDistance,107352.514566365,0.25
AtLeastIn1,PG,Cluster28,Medoid,df_LatDephtDistance,85029.4216148922,0.25
AtLeastIn1,PG,Cluster28,Medoid,df_AbioticsDistance,81809.2579365996,0.25
AtLeastIn1,PG,Cluster29,Ward,df_LatDephtDistance,84837.0656583432,0.25
AtLeastIn1,PG,Cluster29,Ward,df_AbioticsDistance,80703.6188881711,0.25
AtLeastIn1,PG,Cluster29,Medoid,df_LatDephtDistance,84378.2805027343,0.25
AtLeastIn1,PG,Cluster29,Medoid,df_AbioticsDistance,81188.5892305861,0.25
AtLeastIn1,PG,Cluster30,Ward,df_LatDephtDistance,83335.182215484,0.25
AtLeastIn1,PG,Cluster30,Ward,df_AbioticsDistance,79189.5523415905,0.25
AtLeastIn1,PG,Cluster30,Medoid,df_LatDephtDistance,83788.1487033295,0.25
AtLeastIn1,PG,Cluster30,Medoid,df_AbioticsDistance,80593.9688504039,0.25
AtLeastIn1,PG,Cluster31,Ward,df_LatDephtDistance,82010.709507695,0.25
AtLeastIn1,PG,Cluster31,Ward,df_AbioticsDistance,78270.8800003621,0.25
AtLeastIn1,PG,Cluster31,Medoid,df_LatDephtDistance,83264.6293505705,0.25
AtLeastIn1,PG,Cluster31,Medoid,df_AbioticsDistance,80160.4177971624,0.25
AtLeastIn1,PG,Cluster32,Ward,df_LatDephtDistance,62623.4957694483,0.25
AtLeastIn1,PG,Cluster32,Ward,df_AbioticsDistance,58776.0658913101,0.25
AtLeastIn1,PG,Cluster32,Medoid,df_LatDephtDistance,91937.3732229684,0.25
AtLeastIn1,PG,Cluster32,Medoid,df_AbioticsDistance,88501.4321785821,0.25
AtLeastIn1,PG,Cluster33,Ward,df_LatDephtDistance,62099.9764166893,0.25
