atleast,agglevel,clusters,method,dimension,TotalSum,AlphaGeo
AtLeastIn1,PG,Cluster01,Ward,df_LatDephtDistance,4727427.47974437,0
AtLeastIn1,PG,Cluster01,Ward,df_AbioticsDistance,4700037.26008162,0
AtLeastIn1,PG,Cluster01,Medoid,df_LatDephtDistance,4727427.47974437,0
AtLeastIn1,PG,Cluster01,Medoid,df_AbioticsDistance,4700037.26008162,0
AtLeastIn1,PG,Cluster02,Ward,df_LatDephtDistance,2123837.00849786,0
AtLeastIn1,PG,Cluster02,Ward,df_AbioticsDistance,2100094.76639686,0
AtLeastIn1,PG,Cluster02,Medoid,df_LatDephtDistance,2196324.37226234,0
AtLeastIn1,PG,Cluster02,Medoid,df_AbioticsDistance,2171987.0345743,0
AtLeastIn1,PG,Cluster03,Ward,df_LatDephtDistance,1814181.4896383,0
AtLeastIn1,PG,Cluster03,Ward,df_AbioticsDistance,1790312.96360121,0
AtLeastIn1,PG,Cluster03,Medoid,df_LatDephtDistance,1654366.29399199,0
AtLeastIn1,PG,Cluster03,Medoid,df_AbioticsDistance,1631938.64630506,0
AtLeastIn1,PG,Cluster04,Ward,df_LatDephtDistance,1543880.95253705,0
AtLeastIn1,PG,Cluster04,Ward,df_AbioticsDistance,1524083.59192195,0
AtLeastIn1,PG,Cluster04,Medoid,df_LatDephtDistance,1515483.01214439,0
AtLeastIn1,PG,Cluster04,Medoid,df_AbioticsDistance,1494107.02097019,0
AtLeastIn1,PG,Cluster05,Ward,df_LatDephtDistance,1448657.64643464,0
AtLeastIn1,PG,Cluster05,Ward,df_AbioticsDistance,1430291.53562469,0
AtLeastIn1,PG,Cluster05,Medoid,df_LatDephtDistance,814590.905503604,0
AtLeastIn1,PG,Cluster05,Medoid,df_AbioticsDistance,803090.014253275,0
AtLeastIn1,PG,Cluster06,Ward,df_LatDephtDistance,1401266.7816764,0
AtLeastIn1,PG,Cluster06,Ward,df_AbioticsDistance,1383682.8821422,0
AtLeastIn1,PG,Cluster06,Medoid,df_LatDephtDistance,768627.583138234,0
AtLeastIn1,PG,Cluster06,Medoid,df_AbioticsDistance,758217.255389061,0
AtLeastIn1,PG,Cluster07,Ward,df_LatDephtDistance,1184406.96076188,0
AtLeastIn1,PG,Cluster07,Ward,df_AbioticsDistance,1166768.02778829,0
AtLeastIn1,PG,Cluster07,Medoid,df_LatDephtDistance,760118.790328345,0
AtLeastIn1,PG,Cluster07,Medoid,df_AbioticsDistance,750320.143528654,0
AtLeastIn1,PG,Cluster08,Ward,df_LatDephtDistance,1134964.70855416,0
AtLeastIn1,PG,Cluster08,Ward,df_AbioticsDistance,1117128.45975515,0
AtLeastIn1,PG,Cluster08,Medoid,df_LatDephtDistance,703103.198207237,0
AtLeastIn1,PG,Cluster08,Medoid,df_AbioticsDistance,693049.29024834,0
AtLeastIn1,PG,Cluster09,Ward,df_LatDephtDistance,1126570.63902027,0
AtLeastIn1,PG,Cluster09,Ward,df_AbioticsDistance,1108782.04854316,0
AtLeastIn1,PG,Cluster09,Medoid,df_LatDephtDistance,681596.653771646,0
AtLeastIn1,PG,Cluster09,Medoid,df_AbioticsDistance,671421.936526203,0
AtLeastIn1,PG,Cluster10,Ward,df_LatDephtDistance,506896.157803662,0
AtLeastIn1,PG,Cluster10,Ward,df_AbioticsDistance,492356.213433615,0
AtLeastIn1,PG,Cluster10,Medoid,df_LatDephtDistance,622527.350106337,0
AtLeastIn1,PG,Cluster10,Medoid,df_AbioticsDistance,612186.558690446,0
AtLeastIn1,PG,Cluster11,Ward,df_LatDephtDistance,506548.116546062,0
AtLeastIn1,PG,Cluster11,Ward,df_AbioticsDistance,491996.952490091,0
AtLeastIn1,PG,Cluster11,Medoid,df_LatDephtDistance,509024.983797122,0
