ASV_ID,taxonomy,P16N.S04.N01,P16N.S04.N02,P16N.S04.N04,P16N.S04.N05,P16N.S04.N06,P16N.S04.N08,P16N.S04.N11,P16N.S04.N12,P16N.S08.N03,P16N.S08.N04,P16N.S08.N05,P16N.S08.N06,P16N.S08.N08,P16N.S08.N11,P16N.S08.N12,P16N.S12.N01,P16N.S12.N03,P16N.S12.N04,P16N.S12.N05,P16N.S12.N06,P16N.S12.N08,P16N.S12.N11,P16N.S12.N12,P16N.S18.N01,P16N.S18.N03,P16N.S18.N04,P16N.S18.N05,P16N.S18.N06,P16N.S18.N08,P16N.S18.N11,P16N.S18.N12,P16N.S21.N01,P16N.S21.N03,P16N.S21.N04,P16N.S21.N05,P16N.S21.N06,P16N.S21.N08,P16N.S21.N11,P16N.S21.N12,P16N.S26.N01,P16N.S26.N03,P16N.S26.N04,P16N.S26.N05,P16N.S26.N06,P16N.S26.N11,P16N.S26.N12,P16N.S32.N01,P16N.S32.N03,P16N.S32.N04,P16N.S32.N05,P16N.S32.N06,P16N.S32.N08,P16N.S32.N11,P16N.S32.N12,P16N.S36.N01,P16N.S36.N03,P16N.S36.N04,P16N.S36.N05,P16N.S36.N06,P16N.S36.N08,P16N.S36.N11,P16N.S36.N12,P16N.S40.N02,P16N.S40.N03,P16N.S40.N04,P16N.S40.N05,P16N.S40.N06,P16N.S40.N09,P16N.S40.N10,P16N.S47.N01,P16N.S47.N03.200731.run063,P16N.S47.N05.200731.run063,P16N.S47.N06.200731.run063,P16N.S47.N08.200731.run063,P16N.S47.N11.200731.run063,P16N.S47.N12.200731.run063,P16N.S51.N01,P16N.S51.N03,P16N.S51.N04,P16N.S51.N05,P16N.S51.N06,P16N.S51.N08,P16N.S51.N11,P16N.S51.N12,P16N.S55.N01,P16N.S55.N03,P16N.S55.N04,P16N.S55.N05,P16N.S55.N06,P16N.S55.N08,P16N.S55.N11,P16N.S55.N12,P16N.S61.N01,P16N.S61.N03,P16N.S61.N04,P16N.S61.N05,P16N.S61.N08,P16N.S61.N11,P16N.S61.N12,P16N.S66.N01,P16N.S66.N03,P16N.S66.N04,P16N.S66.N05,P16N.S66.N06,P16N.S66.N08,P16N.S66.N11,P16N.S66.N12,P16N.S72.N01,P16N.S72.N03,P16N.S72.N04,P16N.S72.N05,P16N.S72.N06,P16N.S72.N08,P16N.S72.N11,P16N.S72.N12,P16S.S05.N03,P16S.S05.N05,P16S.S05.N08,P16S.S05.N10,P16S.S05.N11,P16S.S05.N12,P16S.S05.N14,P16S.S05.N15,P16S.S104.N21,P16S.S104.N23,P16S.S104.N25,P16S.S104.N27,P16S.S104.N28,P16S.S104.N29,P16S.S104.N30,P16S.S104.N31,P16S.S15.N03,P16S.S15.N05,P16S.S15.N08,P16S.S15.N09,P16S.S15.N10,P16S.S15.N11,P16S.S15.N12,P16S.S15.N15,P16S.S33.N03,P16S.S33.N05,P16S.S33.N08,P16S.S33.N09,P16S.S33.N10,P16S.S33.N11,P16S.S33.N12,P16S.S33.N15,P16S.S47.N03,P16S.S47.N04,P16S.S47.N05,P16S.S47.N08,P16S.S47.N09,P16S.S47.N10,P16S.S47.N12,P16S.S47.N14,P16S.S70.N26,P16S.S70.N28,P16S.S70.N30,P16S.S70.N32,P16S.S70.N33,P16S.S70.N34,P16S.S70.N35,P16S.S70.N36,P16S.S76.N26,P16S.S76.N28,P16S.S76.N30,P16S.S76.N32,P16S.S76.N33,P16S.S76.N34,P16S.S76.N35,P16S.S76.N36,P16S.S84.N19,P16S.S84.N21,P16S.S84.N23,P16S.S84.N25,P16S.S84.N26,P16S.S84.N28,P16S.S84.N29,P16S.S84.N31,P16S.S90.N20,P16S.S90.N22,P16S.S90.N24,P16S.S90.N26,P16S.S90.N27,P16S.S90.N28,P16S.S90.N29,P16S.S90.N30,P16S.S96.N18,P16S.S96.N20,P16S.S96.N23,P16S.S96.N24,P16S.S96.N25,P16S.S96.N26,P16S.S96.N27,P16S.S96.N28,Taxonomy.modified,PG,SG1,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species
0fd45137b71e532d06e224a357de6845,Eukaryota; Opisthokonta; Metazoa; Arthropoda; Crustacea; Maxillopoda; Metridia; Metridia_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133383,0,0,0,0,0,0,0,0,0,0.004524574,0,0.399453088,0.050295333,0.329349197,0.248614737,0.025265799,0.030416722,0,0,0,0,0,0.053156885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77e-05,0,0,0,0,0,0,0,0,0.002771698,0.071293908,0.000397439,0.000393979,0.212286519,0.244882374,0.000440248,0.001485011,9.79e-05,0.001406089,0.000351948,3.62e-05,2.3e-05,0.000378566,0.000270821,2e-05,6.22e-05,0,0,0,0.000134649,0,0,3.59e-05,Kingdom_Eukaryota; Supergroup_Opisthokonta; Division_Metazoa; Class_Arthropoda; Order_Crustacea; Family_Maxillopoda; Genus_Metridia; Species_Metridia_sp.,Copepod 18S,Calanoid,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Metridia,Metridia_sp.
b50d1945d4efa665157870bd953ec0f6,Eukaryota; Rhizaria; Radiolaria; Polycystinea; Nassellaria; Collophidiidae; Collophidium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000259379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061809713,0.005828299,0.000400388,0.022629354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198719,0.368140578,0.023770808,0,0.00015313,0,0.002594355,0,0.000439935,0.001002218,0.000817836,0.017078754,0.000409534,0.000193009,0.084907229,0.02581086,0,0,0.086413737,0.24860728,0.000356487,0,Kingdom_Eukaryota; Supergroup_Rhizaria; Division_Radiolaria; Class_Polycystinea; Order_Nassellaria; Family_Collophidiidae; Genus_Collophidium,Radiolaria 18S,Nassellaria,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Collophidiidae,Collophidium,Genus_Collophidium
084421f5274a7e618c52eecfe20a4a84,Eukaryota; Rhizaria; Radiolaria; Polycystinea; Nassellaria; Collophidiidae; Collophidium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080832251,0.009292799,0.000739177,0.019249035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205311,0,0,0.336769998,0.023275583,9.82e-05,0,0.000176937,0.002288417,0.000435218,0,0.000627896,0.000547144,0.009215388,0,0.00020632,0.119019299,0.020014577,7.64e-05,0.000119518,0.058737349,0.209282323,0,0,Kingdom_Eukaryota; Supergroup_Rhizaria; Division_Radiolaria; Class_Polycystinea; Order_Nassellaria; Family_Collophidiidae; Genus_Collophidium,Radiolaria 18S,Nassellaria,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Collophidiidae,Collophidium,Genus_Collophidium
fcc1c364b43009e4459a2190287246ce,Eukaryota; Opisthokonta; Metazoa; Arthropoda; Crustacea; Maxillopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123187,0,0,0,0,0.301936448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kingdom_Eukaryota; Supergroup_Opisthokonta; Division_Metazoa; Class_Arthropoda; Order_Crustacea; Family_Maxillopoda,Copepod 18S,Unassigned Copepod,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Family_Maxillopoda,Family_Maxillopoda
1a4417c7e055810790ab2c0cdf8a9821,Eukaryota; Opisthokonta; Metazoa; Arthropoda; Crustacea; Maxillopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001567477,0,0,0,0,0.011967019,0.020970359,0.034997523,0.030846296,0,0.000358438,0.000130087,0,0.002397899,0.027802078,0.031030672,0.024861156,0,0,0,0,0.003363691,0,0.048090519,0.091881164,0,0.000128189,0,0,0,0,0,0,0.008553105,0.000811992,0.001432156,0.000563386,0.010375391,0.008400866,0.052401328,0.026245969,0,0,0,0,0,0,0,0,0,0,0.00122737,0,0,0,0,0,5.68e-05,0,0.00090343,0,0.028852503,0.031445214,0,0.003127885,0,0,0,0,0.002447871,0.043095563,0.01512363,0.04132422,0.003312363,0.015068174,0.002666725,0.01679886,0.047175716,0.271060268,0.043825616,0.070406146,0.005543396,0.000489752,0.00207891,0.003250327,0.001980901,0.018836419,0.026166032,0.050875837,0.004895009,0.002510874,0.000307954,0.001436915,0.041294938,0.115895405,0.117899497,0.033829799,0.000323219,0.000143772,0.000129901,0.010180797,0.012301977,0.014049862,0.027674675,0.022752331,Kingdom_Eukaryota; Supergroup_Opisthokonta; Division_Metazoa; Class_Arthropoda; Order_Crustacea; Family_Maxillopoda,Copepod 18S,Unassigned Copepod,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Family_Maxillopoda,Family_Maxillopoda
0fb15abed7c626582b1f1b736f28b6a9,Eukaryota; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Hydrozoa,0,0,0,0.000563463,0,0,0.000125845,0,0,0,0,0,0,0,0,0,0,0,0,0.002353947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007109103,0,0,0,0,0,0,0,0,0,0,0,0,0.000633635,0.003791605,0.000503551,0,0,0,0,0,0,0.002976517,0,0,0,0,0.001274885,0,0.000378264,0.000194376,0,0,0,0,0.003415412,0,0,0,0,7.22e-05,0,0,0,0,0,0,0,0,0,0,0,0.004415091,0,0,0,0,0,0,0,0,0,0,0,0,0.000563709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002403537,0,0,0,0,0.001333237,0,0,0,0,0,0,0,0,0,0,0.000627079,0,0,0,0,0,0,0,0.003682247,0,0,0,0.000581103,0,0.000344259,0,0,0,0,0.267988728,0.010401394,0.004003823,0,0,0.002555724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kingdom_Eukaryota; Supergroup_Opisthokonta; Division_Metazoa; Class_Cnidaria; Order_Cnidaria_X; Family_Hydrozoa,Other Metazoa 18S,Other Metazoa 18S,Eukaryota,Opisthokonta,Metazoa,Cnidaria,Cnidaria_X,Hydrozoa,Family_Hydrozoa,Family_Hydrozoa
cfa5efa2474b9ffa6bbbe6204007c8b0,Eukaryota; Rhizaria; Radiolaria; Polycystinea; Spumellaria; Astrosphaeridae; Cladococcus; Cladococcus_scoparius,0,0,0,0,0,0,0,0,0.000481895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002706622,0,0,0,0,0,0,0,0.008013435,0,0,0.001991207,0,0,0,0,0.000406338,0.009022776,0.003698502,0,0,0,0.017382596,0,0,0,0,0,0,0,0.001584069,0.003248244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006005314,0.150811189,0.008828348,0.017866229,0,0,0,0,0.03427347,0.043165169,0.000955916,0.000282483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001271646,0,0,0,0,0,0,0,0.001116532,0.004727542,0.001276585,0.015018399,0,0,0,0,0.005623449,0.00147963,0,0,0,0,0,0,0.214804263,0.004229318,0.000480885,0.004483297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kingdom_Eukaryota; Supergroup_Rhizaria; Division_Radiolaria; Class_Polycystinea; Order_Spumellaria; Family_Astrosphaeridae; Genus_Cladococcus; Species_Cladococcus_scoparius,Radiolaria 18S,Spumellaria,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellaria,Astrosphaeridae,Cladococcus,Cladococcus_scoparius
4bfda8864fd6d412156dedf8574a44b2,Eukaryota; Opisthokonta; Metazoa; Arthropoda; Crustacea; Maxillopoda; Maxillopoda_X; Maxillopoda_X_sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030130747,0.001199944,0.000246392,0,0,0.000858153,0.183389783,0.0001994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225842,0,0,0,0.210085518,4.47e-05,0,0.000120065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602276,0,Kingdom_Eukaryota; Supergroup_Opisthokonta; Division_Metazoa; Class_Arthropoda; Order_Crustacea; Family_Maxillopoda; Genus_Maxillopoda_X; Species_Maxillopoda_X_sp.,Copepod 18S,Unassigned Copepod,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_X,Maxillopoda_X_sp.
bb01f67b978ac0de8e5d09449d612bea,Eukaryota; Rhizaria; Radiolaria; Polycystinea; Nassellaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183853684,0,0.001499785,0,0,6.56e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kingdom_Eukaryota; Supergroup_Rhizaria; Division_Radiolaria; Class_Polycystinea; Order_Nassellaria,Radiolaria 18S,Nassellaria,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Order_Nassellaria,Order_Nassellaria,Order_Nassellaria
ebf8b2c10b9fd7aa806c88e59c22ac51,Eukaryota; Opisthokonta; Metazoa; Urochordata; Urochordata_X; Ascidiacea; Salpa; Salpa_thompsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001678141,0.003735164,0.005790223,0.015868717,0.001663335,0.000135498,7.43e-05,0.180070281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287435,0.000244876,0.000152861,1.23e-05,0,0,0,0,0.001590878,0.002477395,0.001825729,0.003127404,0.000345564,0.000248772,0.000158529,0.000193009,0.001118836,0.002466825,0.001123258,0.000771437,0.000391705,6e-05,0,0,Kingdom_Eukaryota; Supergroup_Opisthokonta; Division_Metazoa; Class_Urochordata; Order_Urochordata_X; Family_Ascidiacea; Genus_Salpa; Species_Salpa_thompsoni,Other Metazoa 18S,Other Metazoa 18S,Eukaryota,Opisthokonta,Metazoa,Urochordata,Urochordata_X,Ascidiacea,Salpa,Salpa_thompsoni
